X,Y,Inbetriebn,PLZ,Ort,Strasse,Nennleistu,kWh(2013),kWh(averag,kWh/kW,addrtype,addrlocat
8.1564733,49.2207317,23.12.2008,"76829",Landau,Bornheimer Straße 22,"25,92","22398","24152","931",amenity,school
8.0874116,49.1878095,29.12.2008,"76829",Landau,"Kolmarer Straße,14","5,18","5062","5473,8","1056",highway,residential
8.1014038,49.1911027,04.02.2009,"76829",Landau,"Maxburgstraße,33","5,4","5307","5887,25","1090",highway,residential
8.14370189220166,49.20854835,19.02.2009,"76829",Landau,"Berliner Straße,37","3,24","3240","3501,25","1080",building,yes
8.1231541,49.2085523,03.03.2009,"76829",Landau,Rolf-Müller-Straße 15,"19,44","22299","20846","1072",highway,residential
8.11260761013314,49.20849105,26.03.2009,"76829",Landau,"Am Gutleuthaus,14","5,28","5227","5587,5","1058",building,yes
8.13532602847281,49.2062808,21.04.2009,"76829",Landau,"Ahornstraße,12","5,76","7191","9118,25","1583",building,yes
8.1432406,49.2112561,22.04.2009,"76829",Landau,"Oberwiesenstraße,7","34,438","29279","31752","922",shop,tyres
8.0874116,49.1878095,23.04.2009,"76829",Landau,"Kolmarer Straße,20","2,45","1689","1803,25","736",highway,residential
8.0874116,49.1878095,07.05.2009,"76829",Landau,"Kolmarer Straße,10","7,2","6789","7409,5","1029",highway,residential
8.1549158,49.2228913,06.06.2009,"76829",Landau,Speyerer Straße,"29,16","27926","29097,5","997",highway,tertiary
8.0874116,49.1878095,08.06.2009,"76829",Landau,"Kolmarer Straße,80","7,48","6391","7030,25","939",highway,residential
8.095703686226,49.1932342,05.08.2009,"76829",Landau,"Rudolf-von-Habsburg-Straße,23","6,84","5701","6245,75","913",building,yes
8.1014038,49.1911027,04.09.2009,"76829",Landau,"Maxburgstraße,26","5,88","6167","6719,75","1142",highway,residential
8.11651255428741,49.1864948,14.09.2009,"76829",Landau,"Eutzinger Straße,7","25,9","28687","23763","917",building,yes
8.1555476,49.2169133,25.09.2009,"76829",Landau,Friedrich-Kreutz-Ring 2,"5,04","4793","5154","1022",building,yes
8.1305662,49.2032548,25.09.2009,"76829",Landau,"Horststraße,92","32,4","32821","35741,25","1103",building,yes
8.1132108,49.2226554,30.09.2009,"76829",Landau,Bauerngasse 10,"8,64","8355","8935,75","1034",highway,residential
8.12911955,49.20471185,01.10.2009,"76829",Landau,"Wellbachstraße,15","6,21","6339","6839,75","1101",building,yes
8.11169245149215,49.2087499,12.10.2009,"76829",Landau,"Am Gutleuthaus,21","10","11260","12058","1205",building,yes
8.10921,49.1884593,14.10.2009,"76829",Landau,"Konrad-Adenauer-Straße,15","3,225","3224","3463","1073",highway,residential
8.0766834,49.1655271,16.10.2009,"76829",Landau,Jakob-Becker-Str. 11a,"5,5","5194","4873,75","886",highway,residential
8.10531025,49.20802,08.11.2009,"76829",Landau,"Im Steingebiß,22","5,85","6328","6772,5","1157",building,yes
8.14010297443539,49.20327285,13.11.2009,"76829",Landau,"Queichstraße,5","5,85","5987","6478,5","1107",building,yes
8.1444088,49.2103498,19.11.2009,"76829",Landau,"Oberwiesenstraße,2","10","10254","10692,75","1069",shop,car
8.0913945,49.1894647,25.11.2009,"76829",Landau,"Kaysersbergstraße,1","9,24","9302","10082,75","1091",highway,residential
8.08962486038864,49.1945831,02.12.2009,"76829",Landau,"Emich-von-Leiningen-Straße,36","6,3","5765","6139,25","974",building,yes
8.0877572,49.1905643,03.12.2009,"76829",Landau,"Rosheimer Straße,6","8,97","6824","7309,25","814",highway,residential
8.0889543,49.1909473,08.12.2009,"76829",Landau,"Oberehnheimer Straße,6","5,85","6014","6455,75","1103",highway,residential
8.12754255,49.206027,16.12.2009,"76829",Landau,"Ernst-Gerhard-Weg,16","7,56","7567","6268","829",building,yes
